,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
32906,39,services,married,secondary,no,1099,no,no,cellular,29,jan,211,2,245,6,failure,no
41747,31,management,married,tertiary,no,623,yes,no,cellular,13,may,96,2,349,5,failure,no
42857,33,services,single,secondary,no,450,yes,no,cellular,15,may,148,2,365,2,other,no
40913,48,services,married,primary,no,222,yes,no,cellular,11,may,127,2,369,1,failure,no
30903,31,services,single,secondary,no,900,yes,no,cellular,20,nov,321,2,190,4,other,no
36858,30,admin.,married,tertiary,no,26,yes,no,cellular,16,apr,62,1,323,1,failure,no
39140,43,blue-collar,married,secondary,no,-755,yes,yes,cellular,5,may,162,1,337,1,failure,no
3697,57,admin.,divorced,primary,no,179,yes,no,cellular,15,may,67,1,368,2,failure,no
34339,56,technician,married,primary,no,284,no,no,cellular,4,feb,177,1,197,9,failure,no
40584,32,management,married,tertiary,no,859,yes,yes,cellular,11,may,195,5,172,11,other,no
47615,51,management,single,unknown,no,1277,no,no,cellular,22,feb,143,5,294,1,failure,no
1870,25,student,single,unknown,no,10788,no,no,cellular,23,dec,102,2,210,2,other,no
39665,50,management,married,tertiary,no,29,yes,no,cellular,7,may,83,4,266,20,other,no
40337,41,entrepreneur,married,tertiary,no,10,yes,no,cellular,8,may,196,2,172,2,other,no
34327,38,unemployed,single,secondary,no,2470,yes,no,cellular,4,feb,131,1,230,1,other,no
31910,40,self-employed,married,tertiary,no,271,yes,no,cellular,21,nov,124,3,102,4,failure,no
48899,24,student,single,secondary,no,867,no,no,cellular,2,aug,135,7,108,8,other,no
31568,44,blue-collar,married,secondary,no,701,no,yes,cellular,21,nov,103,1,141,2,failure,no
48812,28,admin.,single,tertiary,no,313,no,yes,cellular,26,jul,461,2,326,4,failure,no
45647,26,management,single,tertiary,no,2506,no,no,cellular,18,aug,134,1,82,3,failure,no
47642,40,technician,married,secondary,no,826,no,no,unknown,24,feb,174,1,267,2,other,no
36489,49,blue-collar,single,secondary,no,8982,yes,no,cellular,13,apr,470,2,334,1,failure,no
47262,36,technician,married,tertiary,no,6,yes,no,cellular,27,jan,100,1,435,1,failure,no
37095,32,blue-collar,married,secondary,no,435,yes,no,cellular,17,apr,456,1,331,1,failure,no
33709,37,management,married,tertiary,no,59,yes,yes,telephone,2,feb,319,1,213,1,failure,no
48142,34,self-employed,married,tertiary,no,263,no,no,cellular,4,may,203,1,78,8,other,no
32395,38,blue-collar,married,secondary,no,105,yes,no,cellular,28,jan,158,1,265,2,failure,no
39985,42,admin.,single,secondary,no,2790,yes,no,cellular,7,may,425,1,336,1,failure,no
40049,41,technician,divorced,secondary,no,348,yes,no,cellular,7,may,225,2,275,2,failure,no
36917,38,self-employed,married,tertiary,no,2084,yes,no,cellular,16,apr,71,2,330,2,failure,no
31514,33,services,married,secondary,no,255,yes,yes,cellular,21,nov,588,2,184,2,failure,no
34448,45,blue-collar,married,secondary,no,1778,yes,no,cellular,4,feb,41,1,251,5,failure,no
39395,38,management,single,tertiary,no,171,yes,yes,cellular,6,may,60,1,272,3,failure,no
47787,70,retired,married,unknown,no,647,no,no,telephone,10,mar,152,1,348,1,failure,no
38124,28,technician,married,secondary,no,7102,yes,no,cellular,20,apr,156,3,325,9,failure,no
35020,37,blue-collar,married,primary,no,95,yes,no,cellular,5,feb,415,2,272,2,failure,no
48290,31,blue-collar,single,secondary,no,411,no,no,cellular,21,may,91,3,361,1,failure,no
39393,28,blue-collar,married,primary,no,60,yes,no,cellular,6,may,161,1,337,1,failure,no
3483,40,management,married,tertiary,no,7780,no,no,telephone,4,may,364,1,355,1,other,no
41959,46,blue-collar,married,primary,no,5461,yes,no,cellular,13,may,562,2,174,2,success,no
40263,53,admin.,married,primary,no,0,yes,no,cellular,8,may,86,1,298,3,failure,no
2956,35,management,married,tertiary,no,552,yes,yes,cellular,19,nov,314,2,124,1,failure,no
41294,28,technician,single,secondary,no,1453,yes,no,cellular,12,may,246,1,343,1,other,no
30638,45,entrepreneur,married,tertiary,no,3689,yes,no,cellular,19,nov,517,2,187,3,failure,no
28994,36,blue-collar,married,secondary,no,1797,yes,yes,cellular,17,nov,166,1,181,2,failure,no
3365,34,entrepreneur,married,secondary,no,1847,yes,no,cellular,9,apr,543,3,321,6,failure,no
36041,46,self-employed,married,secondary,no,-30,yes,yes,cellular,2,apr,164,1,300,2,failure,no
44053,32,management,married,tertiary,no,937,no,no,cellular,26,may,61,1,190,1,failure,no
29023,43,self-employed,married,secondary,no,634,yes,no,cellular,17,nov,65,1,131,1,failure,no
43497,35,technician,married,secondary,no,1092,no,no,cellular,18,may,132,1,360,1,failure,no
38205,39,blue-collar,married,primary,no,143,yes,no,cellular,20,apr,6,2,348,1,other,no
32491,48,technician,married,secondary,no,547,no,no,cellular,28,jan,74,1,176,2,failure,no
35133,32,services,single,secondary,no,124,yes,no,cellular,6,feb,202,3,9,5,other,no
47470,53,admin.,married,secondary,no,1228,yes,yes,cellular,8,feb,116,2,188,1,success,no
42539,26,admin.,single,secondary,no,681,yes,no,cellular,14,may,336,2,322,3,failure,no
29126,39,self-employed,married,tertiary,no,5,yes,no,cellular,17,nov,118,2,131,1,other,no
40223,35,blue-collar,married,primary,no,0,yes,no,cellular,8,may,265,1,290,2,failure,no
39932,28,services,married,secondary,no,15,yes,no,cellular,7,may,182,2,356,1,failure,no
42335,43,blue-collar,married,primary,no,533,yes,no,cellular,14,may,246,2,370,1,other,no
49079,30,technician,single,secondary,no,0,no,no,cellular,13,aug,173,4,562,1,failure,no
37815,54,retired,married,secondary,no,303,yes,no,cellular,20,apr,240,1,349,2,failure,no
43659,50,technician,divorced,secondary,no,116,yes,no,cellular,18,may,40,2,321,14,other,no
49418,31,technician,married,tertiary,no,3338,yes,no,cellular,27,sep,162,2,95,4,failure,no
37931,28,management,single,secondary,no,967,yes,no,cellular,20,apr,174,1,334,1,failure,no
48314,39,management,married,tertiary,no,613,no,no,cellular,26,may,211,2,391,2,success,no
41429,37,technician,married,secondary,no,64,yes,no,cellular,12,may,239,4,278,2,other,no
49160,29,blue-collar,married,secondary,no,3310,no,no,cellular,1,sep,367,1,91,4,failure,no
32251,40,management,married,tertiary,no,378,yes,yes,cellular,28,jan,260,1,268,2,failure,no
40669,39,technician,single,secondary,no,283,yes,no,cellular,11,may,369,2,350,1,failure,no
29490,39,admin.,married,secondary,no,3732,yes,no,cellular,18,nov,515,1,181,2,failure,no
32115,38,housemaid,divorced,tertiary,no,4312,no,no,cellular,21,nov,407,4,182,2,other,no
45125,26,admin.,single,secondary,no,125,no,no,cellular,4,aug,92,1,118,6,other,no
