age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
39,7,1,1,0,1099,0,0,0,29,4,211,2,245,6,0,no
31,4,1,2,0,623,1,0,0,13,8,96,2,349,5,0,no
33,7,2,1,0,450,1,0,0,15,8,148,2,365,2,1,no
48,7,1,0,0,222,1,0,0,11,8,127,2,369,1,0,no
31,7,2,1,0,900,1,0,0,20,9,321,2,190,4,1,no
30,0,1,2,0,26,1,0,0,16,0,62,1,323,1,0,no
43,1,1,1,0,-755,1,1,0,5,8,162,1,337,1,0,no
57,0,0,0,0,179,1,0,0,15,8,67,1,368,2,0,no
56,9,1,0,0,284,0,0,0,4,3,177,1,197,9,0,no
32,4,1,2,0,859,1,1,0,11,8,195,5,172,11,1,no
51,4,2,3,0,1277,0,0,0,22,3,143,5,294,1,0,no
25,8,2,3,0,10788,0,0,0,23,2,102,2,210,2,1,no
50,4,1,2,0,29,1,0,0,7,8,83,4,266,20,1,no
41,2,1,2,0,10,1,0,0,8,8,196,2,172,2,1,no
38,10,2,1,0,2470,1,0,0,4,3,131,1,230,1,1,no
40,6,1,2,0,271,1,0,0,21,9,124,3,102,4,0,no
24,8,2,1,0,867,0,0,0,2,1,135,7,108,8,1,no
44,1,1,1,0,701,0,1,0,21,9,103,1,141,2,0,no
28,0,2,2,0,313,0,1,0,26,5,461,2,326,4,0,no
26,4,2,2,0,2506,0,0,0,18,1,134,1,82,3,0,no
40,9,1,1,0,826,0,0,2,24,3,174,1,267,2,1,no
49,1,2,1,0,8982,1,0,0,13,0,470,2,334,1,0,no
36,9,1,2,0,6,1,0,0,27,4,100,1,435,1,0,no
32,1,1,1,0,435,1,0,0,17,0,456,1,331,1,0,no
37,4,1,2,0,59,1,1,1,2,3,319,1,213,1,0,no
34,6,1,2,0,263,0,0,0,4,8,203,1,78,8,1,no
38,1,1,1,0,105,1,0,0,28,4,158,1,265,2,0,no
42,0,2,1,0,2790,1,0,0,7,8,425,1,336,1,0,no
41,9,0,1,0,348,1,0,0,7,8,225,2,275,2,0,no
38,6,1,2,0,2084,1,0,0,16,0,71,2,330,2,0,no
33,7,1,1,0,255,1,1,0,21,9,588,2,184,2,0,no
45,1,1,1,0,1778,1,0,0,4,3,41,1,251,5,0,no
38,4,2,2,0,171,1,1,0,6,8,60,1,272,3,0,no
70,5,1,3,0,647,0,0,1,10,7,152,1,348,1,0,no
28,9,1,1,0,7102,1,0,0,20,0,156,3,325,9,0,no
37,1,1,0,0,95,1,0,0,5,3,415,2,272,2,0,no
31,1,2,1,0,411,0,0,0,21,8,91,3,361,1,0,no
28,1,1,0,0,60,1,0,0,6,8,161,1,337,1,0,no
40,4,1,2,0,7780,0,0,1,4,8,364,1,355,1,1,no
46,1,1,0,0,5461,1,0,0,13,8,562,2,174,2,2,no
53,0,1,0,0,0,1,0,0,8,8,86,1,298,3,0,no
35,4,1,2,0,552,1,1,0,19,9,314,2,124,1,0,no
28,9,2,1,0,1453,1,0,0,12,8,246,1,343,1,1,no
45,2,1,2,0,3689,1,0,0,19,9,517,2,187,3,0,no
36,1,1,1,0,1797,1,1,0,17,9,166,1,181,2,0,no
34,2,1,1,0,1847,1,0,0,9,0,543,3,321,6,0,no
46,6,1,1,0,-30,1,1,0,2,0,164,1,300,2,0,no
32,4,1,2,0,937,0,0,0,26,8,61,1,190,1,0,no
43,6,1,1,0,634,1,0,0,17,9,65,1,131,1,0,no
35,9,1,1,0,1092,0,0,0,18,8,132,1,360,1,0,no
39,1,1,0,0,143,1,0,0,20,0,6,2,348,1,1,no
48,9,1,1,0,547,0,0,0,28,4,74,1,176,2,0,no
32,7,2,1,0,124,1,0,0,6,3,202,3,9,5,1,no
53,0,1,1,0,1228,1,1,0,8,3,116,2,188,1,2,no
26,0,2,1,0,681,1,0,0,14,8,336,2,322,3,0,no
39,6,1,2,0,5,1,0,0,17,9,118,2,131,1,1,no
35,1,1,0,0,0,1,0,0,8,8,265,1,290,2,0,no
28,7,1,1,0,15,1,0,0,7,8,182,2,356,1,0,no
43,1,1,0,0,533,1,0,0,14,8,246,2,370,1,1,no
30,9,2,1,0,0,0,0,0,13,1,173,4,562,1,0,no
54,5,1,1,0,303,1,0,0,20,0,240,1,349,2,0,no
50,9,0,1,0,116,1,0,0,18,8,40,2,321,14,1,no
31,9,1,2,0,3338,1,0,0,27,11,162,2,95,4,0,no
28,4,2,1,0,967,1,0,0,20,0,174,1,334,1,0,no
39,4,1,2,0,613,0,0,0,26,8,211,2,391,2,2,no
37,9,1,1,0,64,1,0,0,12,8,239,4,278,2,1,no
29,1,1,1,0,3310,0,0,0,1,11,367,1,91,4,0,no
40,4,1,2,0,378,1,1,0,28,4,260,1,268,2,0,no
39,9,2,1,0,283,1,0,0,11,8,369,2,350,1,0,no
39,0,1,1,0,3732,1,0,0,18,9,515,1,181,2,0,no
38,3,0,2,0,4312,0,0,0,21,9,407,4,182,2,1,no
26,0,2,1,0,125,0,0,0,4,1,92,1,118,6,1,no
58,5,1,1,0,374,1,1,0,28,4,223,1,196,1,0,no
41,1,1,1,0,-648,1,0,0,12,8,104,3,172,2,0,no
37,4,1,2,0,489,1,0,0,3,0,246,2,133,6,0,no
43,4,1,2,0,13044,0,0,0,19,9,215,1,93,4,0,no
37,4,1,2,0,1594,1,0,0,17,0,110,1,260,5,0,no
31,4,2,2,0,938,0,0,0,14,6,472,1,384,3,0,no
